"Date","Price","Open","High","Low","Change %"
"Feb 06, 2020","4.2825","4.2356","4.2862","4.2082","1.10%"
"Feb 05, 2020","4.2357","4.2555","4.2611","4.2257","-0.45%"
"Feb 04, 2020","4.2547","4.2478","4.2622","4.2229","0.16%"
"Feb 03, 2020","4.2480","4.2805","4.2829","4.2294","-0.80%"
"Jan 31, 2020","4.2824","4.2440","4.2904","4.2440","0.92%"
"Jan 30, 2020","4.2432","4.2306","4.2722","4.2305","0.30%"
"Jan 29, 2020","4.2306","4.1950","4.2325","4.1806","0.86%"
"Jan 28, 2020","4.1945","4.2111","4.2164","4.1864","-0.31%"
"Jan 27, 2020","4.2077","4.1834","4.2317","4.1799","0.62%"
"Jan 24, 2020","4.1817","4.1706","4.1917","4.1646","0.26%"
"Jan 23, 2020","4.1707","4.1829","4.1903","4.1551","-0.29%"
"Jan 22, 2020","4.1829","4.2011","4.2055","4.1716","-0.71%"
"Jan 21, 2020","4.2126","4.1885","4.2174","4.1826","0.53%"
"Jan 20, 2020","4.1902","4.1654","4.1917","4.1624","0.68%"
"Jan 17, 2020","4.1620","4.1851","4.1935","4.1584","-0.55%"
"Jan 16, 2020","4.1851","4.1754","4.2007","4.1585","0.23%"
"Jan 15, 2020","4.1756","4.1313","4.1859","4.1303","1.03%"
"Jan 14, 2020","4.1330","4.1476","4.1616","4.1205","-0.33%"
"Jan 13, 2020","4.1468","4.0895","4.1468","4.0877","1.23%"
"Jan 10, 2020","4.0963","4.0938","4.1045","4.0613","0.09%"
"Jan 09, 2020","4.0927","4.0647","4.0934","4.0569","0.68%"
"Jan 08, 2020","4.0649","4.0677","4.0784","4.0396","-0.07%"
"Jan 07, 2020","4.0679","4.0622","4.0924","4.0543","0.15%"
"Jan 06, 2020","4.0618","4.0565","4.0743","4.0458","-0.13%"
"Jan 03, 2020","4.0672","4.0253","4.0718","4.0253","1.02%"
"Jan 02, 2020","4.0263","4.0198","4.0412","4.0031","0.17%"
"Jan 01, 2020","4.0195","4.0195","4.0195","4.0195","0.00%"
"Dec 31, 2019","4.0195","4.0201","4.0201","4.0195","0.00%"
"Dec 30, 2019","4.0195","4.0484","4.0484","4.0084","-0.65%"
"Dec 27, 2019","4.0460","4.0568","4.0614","4.0339","-0.25%"
"Dec 26, 2019","4.0560","4.0827","4.0827","4.0453","-0.68%"
"Dec 25, 2019","4.0838","4.0838","4.0838","4.0838","0.00%"
"Dec 24, 2019","4.0838","4.0838","4.0838","4.0838","0.01%"
"Dec 23, 2019","4.0835","4.1015","4.1015","4.0571","-0.46%"
"Dec 20, 2019","4.1025","4.0706","4.1025","4.0576","0.81%"
"Dec 19, 2019","4.0697","4.0633","4.0703","4.0503","0.16%"
"Dec 18, 2019","4.0634","4.0687","4.0764","4.0463","-0.21%"
"Dec 17, 2019","4.0719","4.0630","4.0780","4.0503","0.21%"
"Dec 16, 2019","4.0632","4.1095","4.1095","4.0544","-1.10%"
"Dec 13, 2019","4.1082","4.0912","4.1178","4.0751","0.43%"
"Dec 12, 2019","4.0908","4.1241","4.1311","4.0813","-0.81%"
"Dec 11, 2019","4.1242","4.1466","4.1470","4.1067","-0.55%"
"Dec 10, 2019","4.1470","4.1429","4.1513","4.1323","0.11%"
"Dec 09, 2019","4.1425","4.1417","4.1608","4.1230","0.03%"
"Dec 06, 2019","4.1414","4.1859","4.1947","4.1330","-1.07%"
"Dec 05, 2019","4.1860","4.2080","4.2236","4.1764","-0.52%"
"Dec 04, 2019","4.2080","4.2055","4.2104","4.1818","0.03%"
"Dec 03, 2019","4.2066","4.2237","4.2245","4.1840","-0.40%"
"Dec 02, 2019","4.2234","4.2365","4.2536","4.2070","-0.31%"
"Nov 29, 2019","4.2367","4.1895","4.2457","4.1823","1.11%"
"Nov 28, 2019","4.1902","4.2642","4.2659","4.1901","-1.73%"
"Nov 27, 2019","4.2638","4.2294","4.2710","4.2264","0.72%"
"Nov 26, 2019","4.2332","4.2271","4.2773","4.2271","0.15%"
"Nov 25, 2019","4.2268","4.1989","4.2312","4.1868","0.72%"
"Nov 22, 2019","4.1966","4.1943","4.2011","4.1719","0.08%"
"Nov 21, 2019","4.1932","4.1951","4.2241","4.1821","-0.08%"
"Nov 20, 2019","4.1965","4.1942","4.1980","4.1942","0.05%"
"Nov 19, 2019","4.1945","4.2055","4.2194","4.1851","-0.56%"
"Nov 18, 2019","4.2180","4.1780","4.2196","4.1692","0.52%"
"Nov 15, 2019","4.1962","4.1962","4.1962","4.1962","0.03%"
