Date,Price,Open,High,Low,Change %
"Mar 16, 2020",5.0005,4.8593,5.0683,4.8593,0.029
"Mar 13, 2020",4.8595,4.71,4.8815,4.6426,0.0142
"Mar 12, 2020",4.7916,4.8154,5.0284,4.7496,-0.0049
"Mar 11, 2020",4.8152,4.6406,4.8289,4.6406,0.0369
"Mar 10, 2020",4.6439,4.6741,4.6881,4.6352,-0.0171
"Mar 09, 2020",4.7246,4.7601,4.7954,4.7064,0.021
"Mar 06, 2020",4.6272,4.6355,4.6713,4.6101,0.0043
"Mar 05, 2020",4.6076,4.5988,4.6666,4.5839,0.0049
"Mar 04, 2020",4.585,4.5133,4.588,4.5019,0.0155
"Mar 03, 2020",4.5148,4.4744,4.5183,4.4517,0.009
"Mar 02, 2020",4.4744,4.495,4.5065,4.4692,0.0002
"Feb 28, 2020",4.4736,4.5066,4.5138,4.4634,-0.0028
"Feb 27, 2020",4.4863,4.4486,4.5015,4.4462,0.008
"Feb 26, 2020",4.4505,4.3875,4.4553,4.3875,0.0142
"Feb 25, 2020",4.3883,4.3883,4.3883,4.3875,0
"Feb 24, 2020",4.3883,4.3883,4.3883,4.3883,-0.0003
"Feb 21, 2020",4.3898,4.3941,4.4066,4.37,-0.0009
"Feb 20, 2020",4.3936,4.3651,4.3982,4.3572,0.0065
"Feb 19, 2020",4.3653,4.3567,4.3778,4.3564,0.0022
"Feb 18, 2020",4.3559,4.3281,4.364,4.3251,0.0066
"Feb 17, 2020",4.3273,4.2999,4.3318,4.2969,0.0069
"Feb 14, 2020",4.2976,4.3506,4.3506,4.2903,-0.0121
"Feb 13, 2020",4.3502,4.3552,4.3834,4.3075,-0.0011
"Feb 12, 2020",4.3552,4.3323,4.3557,4.3231,0.0054
"Feb 11, 2020",4.3318,4.325,4.3405,4.2962,0.0015
"Feb 10, 2020",4.3251,4.3204,4.3289,4.3034,0.001
"Feb 07, 2020",4.3206,4.2825,4.3238,4.2794,0.0089
"Feb 06, 2020",4.2825,4.2356,4.2862,4.2082,0.011
"Feb 05, 2020",4.2357,4.2555,4.2611,4.2257,-0.0045
"Feb 04, 2020",4.2547,4.2478,4.2622,4.2229,0.0016
"Feb 03, 2020",4.248,4.2805,4.2829,4.2294,-0.008
"Jan 31, 2020",4.2824,4.244,4.2904,4.244,0.0092
"Jan 30, 2020",4.2432,4.2306,4.2722,4.2305,0.003
"Jan 29, 2020",4.2306,4.195,4.2325,4.1806,0.0086
"Jan 28, 2020",4.1945,4.2111,4.2164,4.1864,-0.0031
"Jan 27, 2020",4.2077,4.1834,4.2317,4.1799,0.0062
"Jan 24, 2020",4.1817,4.1706,4.1917,4.1646,0.0026
"Jan 23, 2020",4.1707,4.1829,4.1903,4.1551,-0.0029
"Jan 22, 2020",4.1829,4.2011,4.2055,4.1716,-0.0071
