"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 17, 2016","141.90","145.70","149.75","140.35","53.55K","-2.61%"
"Jul 10, 2016","145.70","144.85","153.05","144.85","0.03K","2.07%"
"Jul 03, 2016","142.75","145.60","145.60","140.00","0.10K","-1.45%"
"Jun 26, 2016","144.85","134.65","146.05","133.50","0.31K","7.82%"
"Jun 19, 2016","134.35","139.00","140.40","133.50","15.40K","-4.55%"
"Jun 12, 2016","140.75","140.10","142.15","132.15","81.01K","2.77%"
"Jun 05, 2016","136.95","127.30","145.00","127.10","202.77K","7.75%"
"May 29, 2016","127.10","121.55","127.40","120.85","92.74K","4.78%"
"May 22, 2016","121.30","124.50","124.70","120.80","81.85K","-2.73%"
"May 15, 2016","124.70","128.75","132.60","123.70","45.26K","-3.18%"
"May 08, 2016","128.80","125.90","128.75","125.90","0.04K","4.33%"
"May 01, 2016","123.45","122.10","124.00","118.70","0.33K","2.15%"
"Apr 24, 2016","120.85","122.50","126.25","120.00","0.39K","-1.55%"
"Apr 17, 2016","122.75","123.10","130.00","122.00","21.97K","-0.16%"
"Apr 10, 2016","122.95","121.35","125.50","119.80","91.61K","2.08%"
"Apr 03, 2016","120.45","125.80","126.55","119.05","131.87K","-5.34%"
"Mar 27, 2016","127.25","127.45","130.00","124.40","94.74K","-0.24%"
"Mar 20, 2016","127.55","133.70","136.40","127.40","77.33K","-4.71%"
"Mar 13, 2016","133.85","125.00","134.40","123.35","0.02K","7.60%"
"Mar 06, 2016","124.40","117.65","124.05","116.90","0.06K","4.71%"
"Feb 28, 2016","118.80","112.30","115.40","111.35","0.13K","5.13%"
"Feb 21, 2016","113.00","116.20","120.35","113.35","0.54K","-2.38%"
"Feb 14, 2016","115.75","116.40","117.55","113.20","45.36K","0.17%"
"Feb 07, 2016","115.55","120.00","120.00","112.50","135.92K","-4.03%"
"Jan 31, 2016","120.40","115.80","124.00","114.95","109.77K","3.48%"
"Jan 24, 2016","116.35","114.70","120.30","114.15","100.52K","0.30%"
"Jan 17, 2016","116.00","114.30","117.50","111.05","79.65K","0.96%"
"Jan 10, 2016","114.90","118.00","118.05","113.50","92.12K","-3.45%"
"Jan 03, 2016","119.00","126.15","126.30","117.90","79.33K","-6.08%"
"Dec 27, 2015","126.70","119.70","126.80","118.30","36.69K","5.85%"
"Dec 20, 2015","119.70","118.25","121.40","116.80","32.19K","1.06%"
"Dec 13, 2015","118.45","117.25","119.20","116.20","0.03K","0.30%"
"Dec 06, 2015","118.10","123.55","124.60","122.55","0.05K","-4.76%"
"Nov 29, 2015","124.00","120.60","123.50","115.75","0.07K","2.48%"
"Nov 22, 2015","121.00","122.30","123.00","118.85","0.27K","-0.74%"
"Nov 15, 2015","121.90","112.50","123.95","111.85","37.63K","8.69%"
"Nov 08, 2015","112.15","118.05","119.70","111.60","128.85K","-4.76%"
"Nov 01, 2015","117.75","121.00","122.35","116.90","96.51K","-2.65%"
"Oct 25, 2015","120.95","118.00","121.95","116.30","73.30K","2.11%"
"Oct 18, 2015","118.45","126.10","126.20","117.55","73.57K","-5.88%"
"Oct 11, 2015","125.85","131.70","137.60","125.05","108.36K","-4.37%"
"Oct 04, 2015","131.60","125.00","134.25","124.30","96.94K","5.87%"
"Sep 27, 2015","124.30","122.70","125.25","117.95","76.26K","1.30%"
"Sep 20, 2015","122.70","118.00","123.35","114.55","77.93K","8.25%"
"Sep 13, 2015","113.35","114.90","115.55","114.90","0.05K","0.00%"
"Sep 06, 2015","113.35","116.70","116.75","113.20","0.03K","-2.16%"
"Aug 30, 2015","115.85","121.00","121.00","114.70","0.03K","-3.82%"
"Aug 23, 2015","120.45","121.20","122.45","117.10","0.20K","-1.19%"
"Aug 16, 2015","121.90","135.95","137.35","121.95","52.19K","-11.35%"
"Aug 09, 2015","137.50","127.15","139.00","127.00","159.09K","7.59%"
"Aug 02, 2015","127.80","125.10","128.85","121.75","107.92K","2.04%"
"Jul 26, 2015","125.25","122.20","127.65","119.85","81.67K","2.45%"
"Jul 19, 2015","122.25","126.50","128.00","120.65","53.03K","-3.74%"
"Jul 12, 2015","127.00","125.85","130.30","125.85","0.02K","3.29%"
"Jul 05, 2015","122.95","125.90","125.90","122.20","0.05K","-2.11%"
"Jun 28, 2015","125.60","128.40","131.35","125.15","0.09K","-4.63%"
"Jun 21, 2015","131.70","127.00","134.60","126.65","1.08K","3.58%"
"Jun 14, 2015","127.15","131.05","131.60","124.80","64.59K","-3.71%"
"Jun 07, 2015","132.05","135.00","138.85","130.60","116.95K","-2.26%"
"May 31, 2015","135.10","128.20","137.00","128.15","101.55K","7.09%"
"May 24, 2015","126.15","128.00","128.60","123.55","68.02K","-0.63%"
"May 17, 2015","126.95","137.60","143.85","125.80","87.33K","-7.47%"
"May 10, 2015","137.20","133.50","137.95","132.95","0.06K","3.24%"
"May 03, 2015","132.90","132.50","134.10","127.85","0.07K","-0.41%"
"Apr 26, 2015","133.45","140.00","143.30","131.40","0.29K","-5.46%"
"Apr 19, 2015","141.15","138.40","145.00","134.25","10.83K","1.77%"
"Apr 12, 2015","138.70","135.15","141.25","131.95","69.80K","2.66%"
"Apr 05, 2015","135.10","140.90","147.35","133.60","112.83K","-4.12%"
"Mar 29, 2015","140.90","138.80","141.45","131.80","68.95K","1.95%"
"Mar 22, 2015","138.20","142.00","145.40","136.00","70.29K","-3.59%"
"Mar 15, 2015","143.35","133.35","143.90","131.45","10.81K","13.36%"
"Mar 08, 2015","126.45","136.50","136.55","130.25","0.02K","-7.36%"
"Mar 01, 2015","136.50","138.55","138.55","129.05","0.05K","-0.18%"
"Feb 22, 2015","136.75","147.95","149.75","136.45","0.33K","-8.01%"
"Feb 15, 2015","148.65","164.00","165.75","147.00","35.19K","-8.92%"
"Feb 08, 2015","163.20","166.50","169.25","158.80","123.29K","-2.19%"
"Feb 01, 2015","166.85","162.40","169.75","158.40","90.75K","3.06%"
"Jan 25, 2015","161.90","162.20","169.90","158.70","77.42K","-0.34%"
"Jan 18, 2015","162.45","170.10","172.50","159.40","65.25K","-5.00%"
"Jan 11, 2015","171.00","181.25","184.90","170.40","91.63K","-5.03%"
"Jan 04, 2015","180.05","160.95","183.85","160.10","105.14K","11.80%"
"Dec 28, 2014","161.05","167.65","171.30","160.20","34.33K","-4.48%"
"Dec 21, 2014","168.60","174.70","176.50","167.75","21.59K","-3.49%"
"Dec 14, 2014","174.70","174.10","177.65","172.25","8.43K","0.98%"
"Dec 07, 2014","173.00","177.05","178.50","174.00","0.01K","-3.41%"
"Nov 30, 2014","179.10","187.55","188.25","177.80","0.15K","-4.04%"
"Nov 23, 2014","186.65","190.50","196.20","186.40","0.29K","-1.58%"
"Nov 16, 2014","189.65","192.00","199.75","186.00","22.58K","-1.22%"
"Nov 09, 2014","192.00","182.40","193.40","181.10","100.17K","5.26%"
"Nov 02, 2014","182.40","188.95","192.80","182.10","76.93K","-2.98%"
"Oct 26, 2014","188.00","188.00","193.85","185.65","63.27K","-1.83%"
"Oct 19, 2014","191.50","206.35","206.35","188.45","75.54K","-9.09%"
"Oct 12, 2014","210.65","222.05","225.45","208.50","60.54K","-4.42%"
"Oct 05, 2014","220.40","208.70","225.50","208.70","79.10K","6.73%"
"Sep 28, 2014","206.50","185.55","213.75","185.20","84.40K","10.99%"
"Sep 21, 2014","186.05","178.00","189.80","176.40","58.14K","4.52%"
"Sep 14, 2014","178.00","179.35","182.85","176.40","15.24K","-0.92%"
"Sep 07, 2014","179.65","192.30","192.30","176.20","0.08K","-6.84%"
"Aug 31, 2014","192.85","200.10","204.70","192.10","0.05K","-1.48%"
"Aug 24, 2014","195.75","182.35","197.70","180.55","0.27K","7.79%"
"Aug 17, 2014","181.60","188.95","190.40","178.65","32.65K","-3.79%"
"Aug 10, 2014","188.75","180.85","189.65","180.85","71.34K","4.37%"
"Aug 03, 2014","180.85","192.05","195.45","179.40","96.18K","-5.98%"
"Jul 27, 2014","192.35","179.80","207.40","178.00","83.24K","7.37%"
