"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 27, 2019","2,795.00","2,788.00","2,797.25","2,775.00","1.14M","0.13%"
"Feb 26, 2019","2,791.50","2,795.75","2,803.50","2,783.25","1.20M","-0.20%"
"Feb 25, 2019","2,797.00","2,799.50","2,814.00","2,794.50","1.26M","0.21%"
"Feb 22, 2019","2,791.25","2,773.50","2,795.50","2,770.50","1.19M","0.61%"
"Feb 21, 2019","2,774.25","2,787.00","2,798.00","2,764.25","1.43M","-0.46%"
"Feb 20, 2019","2,787.00","2,777.75","2,790.75","2,773.25","1.28M","0.30%"
"Feb 19, 2019","2,778.75","2,777.00","2,787.50","2,766.00","1.20M","0.10%"
"Feb 18, 2019","2,775.88","2,778.12","2,780.12","2,773.38","-","-0.10%"
"Feb 17, 2019","2,778.62","2,777.25","2,781.38","2,775.25","-","0.06%"
"Feb 15, 2019","2,777.00","2,741.25","2,778.50","2,729.00","1.52M","1.22%"
"Feb 14, 2019","2,743.50","2,749.25","2,763.00","2,730.25","1.68M","-0.22%"
"Feb 13, 2019","2,749.50","2,743.50","2,762.00","2,742.75","1.21M","0.17%"
"Feb 12, 2019","2,744.75","2,707.00","2,748.00","2,705.50","1.31M","1.35%"
"Feb 11, 2019","2,708.25","2,710.75","2,721.50","2,700.50","1.11M","0.07%"
"Feb 08, 2019","2,706.25","2,702.00","2,709.00","2,680.75","1.58M","0.08%"
"Feb 07, 2019","2,704.00","2,727.00","2,729.25","2,685.50","1.92M","-0.93%"
"Feb 06, 2019","2,729.50","2,730.75","2,736.50","2,722.25","1.20M","-0.05%"
"Feb 05, 2019","2,731.00","2,719.50","2,737.75","2,716.25","1.23M","0.36%"
"Feb 04, 2019","2,721.25","2,699.25","2,725.00","2,697.00","1.02M","0.63%"
"Feb 01, 2019","2,704.25","2,707.75","2,716.00","2,695.50","1.47M","-0.01%"
"Jan 31, 2019","2,704.50","2,683.50","2,713.00","2,675.75","1.94M","0.82%"
"Jan 30, 2019","2,682.50","2,648.50","2,689.75","2,636.25","1.56M","1.60%"
